National v State,State,Year,Personal Federal Taxes,Personal Current Taxes,Disposable Personal Income,Disposable Personal Income (Per Capita),Personal Income (Per Capita),Personal income (thousands of dollars),Population,  Subsidies (millions of dollars),Taxes on Production and Imports (M),Chain-type Quantity Indexes for Real GDP,Compensation (M),Current-dollar GDP (M),Gross Operating Surplus (M),Real GDP (M chained 2012 dollars),Taxes on Production and Imports less Subsides (M),Winner_Candidate,Winner_Party,dem_candidate,dem_votes,other_candidate,other_votes,rep_candidate,rep_votes,state_po,totalvotes
State,Alabama,1997,8558198.0,10612417.0,83368962.0,19087.0,21516.0,93981379.0,4367935.0,-274.5,6754.8,77.435,61083.8,104716.9,37152.8,144457.3,6480.3,Robert Dole,Republican,Bill Clinton,662165.0,Other,103140.0,Robert Dole,769044.0,AL,1534349.0
State,Alabama,1998,9029800.0,11224497.0,88728791.0,20144.0,22692.0,99953288.0,4404701.0,-293.6,6968.3,80.19800000000001,64168.6,110181.3,39338.0,149613.2,6674.7,Robert Dole,Republican,Bill Clinton,662165.0,Other,103140.0,Robert Dole,769044.0,AL,1534349.0
State,Alabama,1999,9349893.0,11730462.0,91722596.0,20704.0,23352.0,103453058.0,4430141.0,-375.0,7329.6,83.178,67225.1,115833.1,41653.4,155171.9,6954.6,Robert Dole,Republican,Bill Clinton,662165.0,Other,103140.0,Robert Dole,769044.0,AL,1534349.0
State,Alabama,2000,9701986.0,12163118.0,96191981.0,21606.0,24338.0,108355099.0,4452173.0,-351.0,7868.6,84.53200000000001,69764.4,120132.9,42850.9,157697.7,7517.5,George W. Bush,Republican,Al Gore,692611.0,Other,32488.0,George W. Bush,941173.0,AL,1666272.0
State,Alabama,2001,10062049.0,12519154.0,99635776.0,22302.0,25104.0,112154930.0,4467634.0,-462.4,8004.4,84.23200000000001,72038.4,123035.3,43455.0,157137.9,7541.9,George W. Bush,Republican,Al Gore,692611.0,Other,32488.0,George W. Bush,941173.0,AL,1666272.0
State,Alabama,2002,8671437.0,11101169.0,104090640.0,23234.0,25712.0,115191809.0,4480089.0,-495.6,8050.4,86.44,74152.3,128117.4,46410.3,161258.0,7554.8,George W. Bush,Republican,Al Gore,692611.0,Other,32488.0,George W. Bush,941173.0,AL,1666272.0
State,Alabama,2003,8216997.0,10672170.0,109538906.0,24323.0,26693.0,120211076.0,4503491.0,-452.3,8434.7,88.581,77085.0,133969.3,48901.9,165250.5,7982.4,George W. Bush,Republican,Al Gore,692611.0,Other,32488.0,George W. Bush,941173.0,AL,1666272.0
State,Alabama,2004,8335490.0,10978927.0,117760952.0,25992.0,28415.0,128739879.0,4530729.0,-391.5,8995.7,94.29799999999999,81588.9,146886.7,56693.5,175916.8,8604.3,George W. Bush,Republican,John Kerry,693933.0,Other,13088.0,George W. Bush,1176394.0,AL,1883415.0
State,Alabama,2005,9879999.0,12881442.0,123445896.0,27013.0,29832.0,136327338.0,4569805.0,-506.9,9913.7,97.49,86356.8,156403.3,60639.7,181871.0,9406.8,George W. Bush,Republican,John Kerry,693933.0,Other,13088.0,George W. Bush,1176394.0,AL,1883415.0
State,Alabama,2006,11401388.0,14711087.0,130464746.0,28184.0,31362.0,145175833.0,4628981.0,-475.4,10571.5,99.348,91148.0,164347.8,63103.9,185337.0,10096.0,George W. Bush,Republican,John Kerry,693933.0,Other,13088.0,George W. Bush,1176394.0,AL,1883415.0
State,Alabama,2007,12239683.0,15738340.0,136588665.0,29230.0,32598.0,152327005.0,4672840.0,-481.8,10851.0,99.971,95286.4,170263.9,64608.3,186499.4,10369.1,George W. Bush,Republican,John Kerry,693933.0,Other,13088.0,George W. Bush,1176394.0,AL,1883415.0
State,Alabama,2008,12462577.0,15953250.0,141413574.0,29972.0,33353.0,157366824.0,4718206.0,-443.3,11143.1,99.31700000000001,97634.2,172677.2,64343.3,185280.6,10699.8,John McCain,Republican,Barack H. Obama,813479.0,Other,19794.0,John McCain,1266546.0,AL,2099819.0
State,Alabama,2009,9244089.0,12435908.0,142709365.0,29994.0,32608.0,155145273.0,4757938.0,-519.1,10684.9,95.89399999999999,95327.1,169128.5,63635.6,178893.4,10165.8,John McCain,Republican,Barack H. Obama,813479.0,Other,19794.0,John McCain,1266546.0,AL,2099819.0
State,Alabama,2010,10161952.0,13206758.0,148309803.0,30992.0,33752.0,161516561.0,4785437.0,-461.2,11066.7,98.103,96804.0,175470.1,68060.7,183014.5,10605.5,John McCain,Republican,Barack H. Obama,813479.0,Other,19794.0,John McCain,1266546.0,AL,2099819.0
State,Alabama,2011,11731967.0,15046831.0,152895926.0,31859.0,34995.0,167942757.0,4799069.0,-509.6,11652.5,99.525,98890.3,181929.9,71896.6,185666.9,11142.9,John McCain,Republican,Barack H. Obama,813479.0,Other,19794.0,John McCain,1266546.0,AL,2099819.0
State,Alabama,2012,11353490.0,14827642.0,157976433.0,32805.0,35884.0,172804075.0,4815588.0,-484.7,11784.3,100.0,100372.5,186553.9,74881.8,186553.9,11299.6,Mitt Romney,Republican,Barack H. Obama,795696.0,Other,22717.0,Mitt Romney,1255925.0,AL,2074338.0
State,Alabama,2013,12389813.0,16122198.0,158293222.0,32772.0,36110.0,174415420.0,4830081.0,-457.1,12043.3,101.212,102206.9,192166.5,78373.4,188814.2,11586.2,Mitt Romney,Republican,Barack H. Obama,795696.0,Other,22717.0,Mitt Romney,1255925.0,AL,2074338.0
State,Alabama,2014,12820194.0,16515927.0,163941756.0,33860.0,37271.0,180457683.0,4841799.0,-466.9,12206.1,100.544,106036.8,195037.7,77261.7,187568.0,11739.2,Mitt Romney,Republican,Barack H. Obama,795696.0,Other,22717.0,Mitt Romney,1255925.0,AL,2074338.0
State,Alabama,2015,14032671.0,17958460.0,170752983.0,35190.0,38891.0,188711443.0,4852347.0,-440.7,12131.8,101.541,110031.4,200197.5,78474.9,189428.8,11691.2,Mitt Romney,Republican,Barack H. Obama,795696.0,Other,22717.0,Mitt Romney,1255925.0,AL,2074338.0
State,Alabama,2016,14656583.0,18701899.0,173580034.0,35690.0,39536.0,192281933.0,4863525.0,-517.9,12992.2,102.664,112852.6,204454.7,79127.8,191523.4,12474.3,Donald J. Trump,Republican,Hillary Clinton,729547.0,Other,75570.0,Donald J. Trump,1318255.0,AL,2123372.0
State,Alabama,2017,14644869.0,18810721.0,181189035.0,37171.0,41030.0,199999756.0,4874486.0,-543.8,13480.9,103.82700000000001,116633.7,210895.7,81325.0,193693.0,12937.1,Donald J. Trump,Republican,Hillary Clinton,729547.0,Other,75570.0,Donald J. Trump,1318255.0,AL,2123372.0
