National v State,State,Winner_Candidate,Winner_Party,Year,dem_candidate,dem_votes,other_candidate,other_votes,rep_candidate,rep_votes,state_po,totalvotes
State,Alabama,Jimmy Carter,Democrat,1976,Jimmy Carter,659170.0,Other,19610.0,Gerald Ford,504070.0,AL,1182850.0
State,Alabama,Jimmy Carter,Democrat,1977,Jimmy Carter,659170.0,Other,19610.0,Gerald Ford,504070.0,AL,1182850.0
State,Alabama,Jimmy Carter,Democrat,1978,Jimmy Carter,659170.0,Other,19610.0,Gerald Ford,504070.0,AL,1182850.0
State,Alabama,Jimmy Carter,Democrat,1979,Jimmy Carter,659170.0,Other,19610.0,Gerald Ford,504070.0,AL,1182850.0
State,Alabama,Ronald Reagan,Republican,1980,Jimmy Carter,636730.0,Other,51007.0,Ronald Reagan,654192.0,AL,1341929.0
State,Alabama,Ronald Reagan,Republican,1981,Jimmy Carter,636730.0,Other,51007.0,Ronald Reagan,654192.0,AL,1341929.0
State,Alabama,Ronald Reagan,Republican,1982,Jimmy Carter,636730.0,Other,51007.0,Ronald Reagan,654192.0,AL,1341929.0
State,Alabama,Ronald Reagan,Republican,1983,Jimmy Carter,636730.0,Other,51007.0,Ronald Reagan,654192.0,AL,1341929.0
State,Alabama,Ronald Reagan,Republican,1984,Walter Mondale,551899.0,Other,16965.0,Ronald Reagan,872849.0,AL,1441713.0
State,Alabama,Ronald Reagan,Republican,1985,Walter Mondale,551899.0,Other,16965.0,Ronald Reagan,872849.0,AL,1441713.0
State,Alabama,Ronald Reagan,Republican,1986,Walter Mondale,551899.0,Other,16965.0,Ronald Reagan,872849.0,AL,1441713.0
State,Alabama,Ronald Reagan,Republican,1987,Walter Mondale,551899.0,Other,16965.0,Ronald Reagan,872849.0,AL,1441713.0
State,Alabama,George H.W. Bush,Republican,1988,Michael Dukakis,549506.0,Other,13394.0,George H.W. Bush,815576.0,AL,1378476.0
State,Alabama,George H.W. Bush,Republican,1989,Michael Dukakis,549506.0,Other,13394.0,George H.W. Bush,815576.0,AL,1378476.0
State,Alabama,George H.W. Bush,Republican,1990,Michael Dukakis,549506.0,Other,13394.0,George H.W. Bush,815576.0,AL,1378476.0
State,Alabama,George H.W. Bush,Republican,1991,Michael Dukakis,549506.0,Other,13394.0,George H.W. Bush,815576.0,AL,1378476.0
State,Alabama,George H.W. Bush,Republican,1992,Bill Clinton,690080.0,Other,193697.0,George H.W. Bush,804283.0,AL,1688060.0
State,Alabama,George H.W. Bush,Republican,1993,Bill Clinton,690080.0,Other,193697.0,George H.W. Bush,804283.0,AL,1688060.0
State,Alabama,George H.W. Bush,Republican,1994,Bill Clinton,690080.0,Other,193697.0,George H.W. Bush,804283.0,AL,1688060.0
State,Alabama,George H.W. Bush,Republican,1995,Bill Clinton,690080.0,Other,193697.0,George H.W. Bush,804283.0,AL,1688060.0
State,Alabama,Robert Dole,Republican,1996,Bill Clinton,662165.0,Other,103140.0,Robert Dole,769044.0,AL,1534349.0
State,Alabama,Robert Dole,Republican,1997,Bill Clinton,662165.0,Other,103140.0,Robert Dole,769044.0,AL,1534349.0
State,Alabama,Robert Dole,Republican,1998,Bill Clinton,662165.0,Other,103140.0,Robert Dole,769044.0,AL,1534349.0
State,Alabama,Robert Dole,Republican,1999,Bill Clinton,662165.0,Other,103140.0,Robert Dole,769044.0,AL,1534349.0
State,Alabama,George W. Bush,Republican,2000,Al Gore,692611.0,Other,32488.0,George W. Bush,941173.0,AL,1666272.0
State,Alabama,George W. Bush,Republican,2001,Al Gore,692611.0,Other,32488.0,George W. Bush,941173.0,AL,1666272.0
State,Alabama,George W. Bush,Republican,2002,Al Gore,692611.0,Other,32488.0,George W. Bush,941173.0,AL,1666272.0
State,Alabama,George W. Bush,Republican,2003,Al Gore,692611.0,Other,32488.0,George W. Bush,941173.0,AL,1666272.0
State,Alabama,George W. Bush,Republican,2004,John Kerry,693933.0,Other,13088.0,George W. Bush,1176394.0,AL,1883415.0
State,Alabama,George W. Bush,Republican,2005,John Kerry,693933.0,Other,13088.0,George W. Bush,1176394.0,AL,1883415.0
State,Alabama,George W. Bush,Republican,2006,John Kerry,693933.0,Other,13088.0,George W. Bush,1176394.0,AL,1883415.0
State,Alabama,George W. Bush,Republican,2007,John Kerry,693933.0,Other,13088.0,George W. Bush,1176394.0,AL,1883415.0
State,Alabama,John McCain,Republican,2008,Barack H. Obama,813479.0,Other,19794.0,John McCain,1266546.0,AL,2099819.0
State,Alabama,John McCain,Republican,2009,Barack H. Obama,813479.0,Other,19794.0,John McCain,1266546.0,AL,2099819.0
State,Alabama,John McCain,Republican,2010,Barack H. Obama,813479.0,Other,19794.0,John McCain,1266546.0,AL,2099819.0
State,Alabama,John McCain,Republican,2011,Barack H. Obama,813479.0,Other,19794.0,John McCain,1266546.0,AL,2099819.0
State,Alabama,Mitt Romney,Republican,2012,Barack H. Obama,795696.0,Other,22717.0,Mitt Romney,1255925.0,AL,2074338.0
State,Alabama,Mitt Romney,Republican,2013,Barack H. Obama,795696.0,Other,22717.0,Mitt Romney,1255925.0,AL,2074338.0
State,Alabama,Mitt Romney,Republican,2014,Barack H. Obama,795696.0,Other,22717.0,Mitt Romney,1255925.0,AL,2074338.0
State,Alabama,Mitt Romney,Republican,2015,Barack H. Obama,795696.0,Other,22717.0,Mitt Romney,1255925.0,AL,2074338.0
