Year,State,state_po,state_fips,state_cen,state_ic,office,candidate_detail,candidate,party_detail,party,writein,candidatevotes,totalvotes
1976,Alabama,AL,1,63,41,US President,"Carter, Jimmy",Jimmy Carter,democrat,Democrat,FALSE,659170,1182850
1976,Alabama,AL,1,63,41,US President,"Ford, Gerald",Gerald Ford,republican,Republican,FALSE,504070,1182850
1976,Alabama,AL,1,63,41,US President,"Maddox, Lester",Other,american independent party,Other,FALSE,9198,1182850
1976,Alabama,AL,1,63,41,US President,"Bubar, Benjamin """"Ben""""",Other,prohibition,Other,FALSE,6669,1182850
1976,Alabama,AL,1,63,41,US President,"Hall, Gus",Other,communist party use,Other,FALSE,1954,1182850
1976,Alabama,AL,1,63,41,US President,"Macbride, Roger",Other,libertarian,Other,FALSE,1481,1182850
1976,Alabama,AL,1,63,41,US President,,Other,,Other,TRUE,308,1182850
1976,Alaska,AK,2,94,81,US President,"Ford, Gerald",Gerald Ford,republican,Republican,FALSE,71555,123574
1976,Alaska,AK,2,94,81,US President,"Carter, Jimmy",Jimmy Carter,democrat,Democrat,FALSE,44058,123574
1976,Alaska,AK,2,94,81,US President,"Macbride, Roger",Other,libertarian,Other,FALSE,6785,123574
1976,Alaska,AK,2,94,81,US President,,Other,,Other,TRUE,1176,123574
1976,Arizona,AZ,4,86,61,US President,"Ford, Gerald",Gerald Ford,republican,Republican,FALSE,418642,742719
1976,Arizona,AZ,4,86,61,US President,"Carter, Jimmy",Jimmy Carter,democrat,Democrat,FALSE,295602,742719
1976,Arizona,AZ,4,86,61,US President,"McCarthy, Eugene """"Gene""""",Other,independent,Other,FALSE,19229,742719
1976,Arizona,AZ,4,86,61,US President,"Macbride, Roger",Other,libertarian,Other,FALSE,7647,742719
1976,Arizona,AZ,4,86,61,US President,"Camejo, Peter",Other,socialist workers,Other,FALSE,928,742719
1976,Arizona,AZ,4,86,61,US President,"Anderson, Thomas J.",Other,american,Other,FALSE,564,742719
1976,Arizona,AZ,4,86,61,US President,"Maddox, Lester",Other,american independent party,Other,FALSE,85,742719
1976,Arizona,AZ,4,86,61,US President,,Other,,Other,TRUE,22,742719
1976,Arkansas,AR,5,71,42,US President,"Carter, Jimmy",Jimmy Carter,democrat,Democrat,FALSE,498604,767535
1976,Arkansas,AR,5,71,42,US President,"Ford, Gerald",Gerald Ford,republican,Republican,FALSE,267903,767535
1976,Arkansas,AR,5,71,42,US President,,Other,independent,Other,FALSE,639,767535
1976,Arkansas,AR,5,71,42,US President,"Maddox, Lester",Other,american independent party,Other,FALSE,389,767535
1976,California,CA,6,93,71,US President,"Ford, Gerald",Gerald Ford,republican,Republican,FALSE,3882244,7803770
1976,California,CA,6,93,71,US President,"Carter, Jimmy",Jimmy Carter,democrat,Democrat,FALSE,3742284,7803770
1976,California,CA,6,93,71,US President,"Macbride, Roger",Other,independent,Other,FALSE,56388,7803770
1976,California,CA,6,93,71,US President,"Maddox, Lester",Other,american independent party,Other,FALSE,51098,7803770
1976,California,CA,6,93,71,US President,"Wright, Margaret",Other,peace & freedom,Other,FALSE,41731,7803770
1976,California,CA,6,93,71,US President,"Camejo, Peter",Other,independent,Other,FALSE,17259,7803770
1976,California,CA,6,93,71,US President,"Hall, Gus",Other,independent,Other,FALSE,12766,7803770
1976,Colorado,CO,8,84,62,US President,"Ford, Gerald",Gerald Ford,republican,Republican,FALSE,584278,1081440
1976,Colorado,CO,8,84,62,US President,"Carter, Jimmy",Jimmy Carter,democrat,Democrat,FALSE,460801,1081440
1976,Colorado,CO,8,84,62,US President,"McCarthy, Eugene """"Gene""""",Other,independent,Other,FALSE,26047,1081440
1976,Colorado,CO,8,84,62,US President,"Macbride, Roger",Other,libertarian,Other,FALSE,5338,1081440
1976,Colorado,CO,8,84,62,US President,"Bubar, Benjamin """"Ben""""",Other,prohibition,Other,FALSE,2886,1081440
1976,Colorado,CO,8,84,62,US President,"Camejo, Peter",Other,socialist workers,Other,FALSE,1122,1081440
1976,Colorado,CO,8,84,62,US President,"Larouche, Lyndon, Jr.",Other,u.s. labor,Other,FALSE,565,1081440
